k,sup,maxSup,time_s,loss_metric,vector
2,0,0,577.5111232000054,6.0,"(4, 4, 4, 1, 1, 0, 0, 0, 1)"
5,0,0,471.24052739999024,6.0,"(4, 4, 4, 1, 1, 0, 0, 0, 1)"
10,0,0,443.36545599999954,6.0,"(4, 4, 4, 1, 1, 0, 0, 0, 1)"
2,7,10,2028.5754921000043,5.1704729729729735,"(3, 4, 4, 1, 1, 0, 0, 0, 1)"
5,0,10,1287.0794536999892,6.0,"(4, 4, 4, 1, 1, 0, 0, 0, 1)"
10,0,10,1132.1813788000145,6.0,"(4, 4, 4, 1, 1, 0, 0, 0, 1)"
2,66,100,10978.268096899992,3.878924536936246,"(3, 3, 3, 1, 1, 0, 1, 0, 1)"
5,90,100,7682.989366900001,5.202571171171172,"(3, 4, 4, 1, 1, 0, 0, 0, 1)"
10,97,100,6995.006224099983,5.523784683544303,"(4, 3, 4, 1, 1, 0, 1, 0, 1)"
